rid,eu_name,authorid,match_type,host_id
2365,Stephen Taylor Liddle,A5086963679,fuzzy,I28407311
1518,Michael Sigl,A5023875272,alias,I118564535
311,Michael Karl Sixt,A5015575955,fuzzy,I157556583
1357,Siddhartha Mishra,A5101961582,alias,I35440088
376,Rebekka Schneider-Kramann,A5073561254,alias,I4210120689
1531,Karine Sellegri,A5028858445,exact,I1294671590
2722,Nicolae Coriolan Panoiu,A5028081652,alias,I45129253
2207,Diego Marcelo Andrada,A5039534982,alias,I91712215
3100,Mark Sullivan,A5091372096,alias,I43439940
1134,Andrew Neil Radford,A5059329761,fuzzy,I36234482
3156,Paolo Pinotti,A5063890448,exact,I71209653
221,Francesca Demichelis,A5070658179,alias,I193223587
1155,Duncan T Odom,A5056137343,fuzzy,I241749
2144,Rolf Erni,A5037189873,exact,I71824836
2108,Philipp Kukura,A5025711177,alias,I40120149
3927,Viktoria Von Hoffmann,A5040136128,exact,I157674565
2531,Stefan Mangard,A5015437576,alias,I4092182
677,Florian Schmidt,A5053586448,alias,I2799391451
2773,Gaetano Sardina,A5045406003,exact,I66862912
3373,Sara Binzer Hobolt,A5070013933,alias,I909854389
2201,Guillaume Lefèvre,A5021299818,exact,I1294671590
3702,Martine Robbeets,A5009459959,alias,I149899117
3294,Chinwe Ijeoma Ifejika Speranza,A5004736369,fuzzy,I118564535
2405,Carola Doerr,A5040561209,exact,I1294671590
435,Bart Leo Loeys,A5042051309,fuzzy,I149213910
2266,Sander Izaak Van Kasteren,A5110607137,alias,I121797337
1723,Evgeny Skvortsov,A5012434393,exact,I130929987
3673,Christian Carl Ruff,A5043120916,alias,I202697423
3509,Lucie Dale Cluver,A5108122223,fuzzy,I40120149
1230,Anna Rising,A5064378135,alias,I28166907
1764,Ronald Hanson,A5080823740,exact,I98358874
956,Shy Shoham,A5028417315,exact,I174306211
2282,Thibault Cantat,A5105981674,alias,I2738703131
1411,Tony Gilbert Lelievre,A5048560398,fuzzy,I142631665
3340,Oksana Mont,A5045512462,alias,I187531555
1413,Stefaan Vaes,A5090311858,exact,I99464096
3689,Louise Mary Connell,A5003814468,fuzzy,I157286207
1878,Chase Broedersz,A5086345793,alias,I865915315
3144,Ghazala Azmat,A5087433849,exact,I205092303
1477,Alida Timar-Gabor,A5104083460,alias,I3125347698
293,Julien Dumont,A5002172208,alias,I1294671590
658,Silvio Olivier Rizzoli,A5061167925,fuzzy,I4210116730
4063,Ludovic Antoine Alexandre Orlando,A5032664670,alias,I1294671590
690,Lars Dölken,A5069299747,alias,I34809795
1979,Michael Le Bars,A5010885870,alias,I1294671590
648,Thomas Misgeld,A5068651418,exact,I62916508
1995,Claire Wilhelm,A5034456156,alias,I204730241
2090,Claire Wilhelm,A5034456156,alias,I1294671590
3562,Marie Lallier,A5033180394,alias,I4210104355
2884,Samuel Charles Georges Marre,A5014365722,fuzzy,I1294671590
175,Emmanuel Doram Levy,A5041977335,fuzzy,I53964585
3976,Jarosław Wilczynski,A5090156352,exact,I4210166460
3481,Sander Thomaes,A5069445706,alias,I193662353
1129,Kirsten Bomblies,A5064593721,exact,I35440088
3744,Enrique Jiménez,A5016395945,alias,I8204097
3374,Claes Holger De Vreese,A5111362733,fuzzy,I887064364
2150,Thorsten Hugel,A5061061667,exact,I161046081
1977,Paul Andrew Goddard,A5076416474,fuzzy,I39555362
2893,Erik Bitzek,A5063333508,exact,I4210106926
1447,Martin Schiller,A5050832722,alias,I124055696
2675,Heinz Koeppl,A5070544702,alias,I31512782
622,Nachum Ulanovsky,A5086304017,alias,I53964585
1494,Erin Louise Mcclymont,A5026762714,alias,I190082696
3985,David Zbíral,A5045121768,exact,I21449261
427,Roland Rad,A5082231210,exact,I2802619606
3049,Jean-Luc Lehners,A5066916947,exact,I149899117
48,Sergi Padilla-Parra,A5024498144,alias,I183935753
613,James Francis Alexander Poulet,A5079409586,fuzzy,I205582932
266,Ulrika Marklund,A5087519517,alias,I28166907
517,Yarden Cohen,A5052765012,exact,I53964585
2223,François Guérard,A5013200742,exact,I1294671590
3835,Koen De Temmerman,A5053621288,exact,I32597200
3408,Orhan Agirdag,A5035605779,alias,I99464096
151,Tuuli Lappalainen,A5064165945,exact,I86987016
1471,Sophie Bonnet,A5083944985,exact,I4210166444
2949,Blake Sherwin,A5105473526,alias,I241749
3869,Dirk Klaas Wilbert Van Miert,A5012631271,fuzzy,I193662353
3339,Kaius Tapani Tuori,A5046171527,alias,I133731052
301,Emmanuelle Maria Françoise Bayer,A5030122402,fuzzy,I1294671590
2777,Michael Monaghan,A5016008892,alias,I205274468
1130,Judith Elizabeth Mank,A5065185968,alias,I23923803
2998,Akira Endo,A5029659497,exact,I98358874
1169,Randall Platt,A5006938194,alias,I35440088
