row_id,inst_name,cc,method,host_openalex_id,matched_name,ror
1267,New University of Lisbon,PT,api_top,I83558840,Universidade Nova de Lisboa,https://ror.org/02xankh89
1273,Helmholtz Center Munich - German Research Center for Environmental Health,DE,api_top,I3018134672,Helmholtz Munich,https://ror.org/00cfam450
1293,Technical University of Aachen,DE,api_top,I887968799,RWTH Aachen University,https://ror.org/04xfq0f34
1366,Humboldt University of Berlin,DE,api_top,I39343248,Humboldt-Universität zu Berlin,https://ror.org/01hcx6992
1381,Technical University of Catalonia,ES,api_top,I9617848,Universitat Politècnica de Catalunya,https://ror.org/03mb6wj31
1395,National Institute for Research in Computer Science and Automatic Control (INRIA),FR,api_top,I1326498283,Institut national de recherche en sciences et technologies du numérique,https://ror.org/02kvxyf05
1399,Masaryk University Brno,CZ,api_top,I21449261,Masaryk University,https://ror.org/02j46qs45
1411,ENPC ParisTech,FR,api_top,I142631665,École nationale des ponts et chaussées,https://ror.org/02nwvxz07
1417,Unknown Name,FR,cordis_reverse,I2802487185,Université du littoral côte d'opale,https://ror.org/02gdcg342
1444,Normal Superior School (ENS),FR,api_top,I29607241,École Normale Supérieure - PSL,https://ror.org/05a0dhs15
1456,ISAE-SUPAERO Toulouse,FR,api_top,I193033237,Institut Supérieur de l'Aéronautique et de l'Espace (ISAE-SUPAERO),https://ror.org/04gyj6s21
1466,Technical University of Aachen,DE,api_top,I887968799,RWTH Aachen University,https://ror.org/04xfq0f34
1475,Natural History Museum Berlin - Leibniz Institute for Evolution and Biodiversity Science,DE,manual_override,I1313606977,Museum für Naturkunde,https://ror.org/052d1a351
1477,Babes-Bolyai University (UBB),RO,api_top,I3125347698,Babeș-Bolyai University,https://ror.org/02rmd1t30
1479,Tampere Universities,FI,api_top,I166825849,Tampere University,https://ror.org/033003e23
1481,Normal Superior School of Lyon,FR,api_top,I113428412,École Normale Supérieure de Lyon,https://ror.org/04zmssz18
1482,Free University and Medical Center Amsterdam (VU-VUmc),NL,manual_override,I865915315,Vrije Universiteit Amsterdam,https://ror.org/008xxew50
1542,University of Linkoeping,SE,api_top,I102134673,Linköping University,https://ror.org/05ynxx418
1552,University of Umea,SE,api_top,I90267481,Umeå University,https://ror.org/05kb8h459
1576,Normal Superior School (ENS),FR,api_top,I29607241,École Normale Supérieure - PSL,https://ror.org/05a0dhs15
1612,Technical University of Aachen,DE,api_top,I887968799,RWTH Aachen University,https://ror.org/04xfq0f34
1613,Technical University of Catalonia,ES,api_top,I9617848,Universitat Politècnica de Catalunya,https://ror.org/03mb6wj31
1619,Superior School Sant'Anna,IT,api_top,I162290304,Scuola Superiore Sant'Anna,https://ror.org/025602r80
1621,University of Linkoeping,SE,api_top,I102134673,Linköping University,https://ror.org/05ynxx418
1623,Dortmund University of Technology,DE,api_top,I200332995,TU Dortmund University,https://ror.org/01k97gp34
1624,New University of Lisbon,PT,api_top,I83558840,Universidade Nova de Lisboa,https://ror.org/02xankh89
1627,Technical University of Catalonia,ES,api_top,I9617848,Universitat Politècnica de Catalunya,https://ror.org/03mb6wj31
1629,Technnical University of Madrid,ES,api_top,I88060688,Universidad Politécnica de Madrid,https://ror.org/03n6nwv02
1630,University of Linkoeping,SE,api_top,I102134673,Linköping University,https://ror.org/05ynxx418
1635,University of Linkoeping,SE,api_top,I102134673,Linköping University,https://ror.org/05ynxx418
1636,Unknown Name,SI,cordis_reverse,I118905719,University of Primorska,https://ror.org/05xefg082
1641,University of Linkoeping,SE,api_top,I102134673,Linköping University,https://ror.org/05ynxx418
1643,Koc University,TR,api_top,I1351752,Koç University,https://ror.org/00jzwgz36
1645,Tampere Universities,FI,api_top,I166825849,Tampere University,https://ror.org/033003e23
1668,Humboldt University of Berlin,DE,api_top,I39343248,Humboldt-Universität zu Berlin,https://ror.org/01hcx6992
1684,Normal Superior School of Pisa,IT,api_top,I157210198,Scuola Normale Superiore,https://ror.org/03aydme10
1698,Polytechnic School - Palaiseau,FR,api_top,I142476485,École Polytechnique,https://ror.org/05hy3tk52
1713,Austrian Academy of Science (AAS),AT,api_top,I138211613,Austrian Academy of Sciences,https://ror.org/03anc3s24
1716,Higher Technical Institute for Research and Development (IST-ID),PT,manual_override,I4392738108,IST-ID - Associação do Instituto Superior Técnico para a Investigação e Desenvolvimento,https://ror.org/018qmvm63
1725,ICFO-Institute of Photonics Sciences,ES,api_top,I179630473,Institute of Photonic Sciences,https://ror.org/03g5ew477
1731,ICFO-Institute of Photonics Sciences,ES,api_top,I179630473,Institute of Photonic Sciences,https://ror.org/03g5ew477
1772,Humboldt University of Berlin,DE,api_top,I39343248,Humboldt-Universität zu Berlin,https://ror.org/01hcx6992
1776,Technical University of Aachen,DE,api_top,I887968799,RWTH Aachen University,https://ror.org/04xfq0f34
1842,ICFO-Institute of Photonics Sciences,ES,api_top,I179630473,Institute of Photonic Sciences,https://ror.org/03g5ew477
1878,Free University and Medical Center Amsterdam (VU-VUmc),NL,manual_override,I865915315,Vrije Universiteit Amsterdam,https://ror.org/008xxew50
1912,Masaryk University Brno,CZ,api_top,I21449261,Masaryk University,https://ror.org/02j46qs45
1919,Normal Superior School of Pisa,IT,api_top,I157210198,Scuola Normale Superiore,https://ror.org/03aydme10
1930,Technical University of Aachen,DE,api_top,I887968799,RWTH Aachen University,https://ror.org/04xfq0f34
1969,Superior School of Physics and Industrial Chemistry Paris (ESPCI),FR,api_top,I98910050,ESPCI Paris,https://ror.org/03zx86w41
1971,ICFO-Institute of Photonics Sciences,ES,api_top,I179630473,Institute of Photonic Sciences,https://ror.org/03g5ew477
2010,University of Paris 7 - Diderot,FR,api_top,I204730241,Université Paris Cité,https://ror.org/05f82e368
2011,Polytechnic School - Palaiseau,FR,api_top,I142476485,École Polytechnique,https://ror.org/05hy3tk52
2012,University of Paris 7 - Diderot,FR,api_top,I204730241,Université Paris Cité,https://ror.org/05f82e368
2029,Helmholtz Center Munich - German Research Center for Environmental Health,DE,api_top,I3018134672,Helmholtz Munich,https://ror.org/00cfam450
2053,Helmholtz Center Berlin,DE,api_top,I2800795503,Helmholtz-Zentrum Berlin für Materialien und Energie,https://ror.org/02aj13c28
2055,Dortmund University of Technology,DE,api_top,I200332995,TU Dortmund University,https://ror.org/01k97gp34
2104,Normal Superior School of Pisa,IT,api_top,I157210198,Scuola Normale Superiore,https://ror.org/03aydme10
2133,Dortmund University of Technology,DE,api_top,I200332995,TU Dortmund University,https://ror.org/01k97gp34
2158,Free University and Medical Center Amsterdam (VU-VUmc),NL,manual_override,I865915315,Vrije Universiteit Amsterdam,https://ror.org/008xxew50
2213,Technical University of Aachen,DE,api_top,I887968799,RWTH Aachen University,https://ror.org/04xfq0f34
2218,CIIMAR Interdisciplinary Centre of Marine and Environmental Research,PT,manual_override,I4387153601,Centro Interdisciplinar de Investigação Marinha e Ambiental,https://ror.org/05p7z7s64
2228,New University of Lisbon,PT,api_top,I83558840,Universidade Nova de Lisboa,https://ror.org/02xankh89
2239,Enamine Ltd - Kiev,UA,api_top,I5626980,Enamine (Ukraine),https://ror.org/02t6zky14
2246,Technical University of Catalonia,ES,api_top,I9617848,Universitat Politècnica de Catalunya,https://ror.org/03mb6wj31
2268,Technical University of Aachen,DE,api_top,I887968799,RWTH Aachen University,https://ror.org/04xfq0f34
2309,Dortmund University of Technology,DE,api_top,I200332995,TU Dortmund University,https://ror.org/01k97gp34
2327,National Superior School of Chemistry Paris (ENSCP),FR,api_top,I149758196,Chimie ParisTech,https://ror.org/05q65zh81
2328,Dortmund University of Technology,DE,api_top,I200332995,TU Dortmund University,https://ror.org/01k97gp34
2339,Technical University of Braunschweig,DE,api_top,I94509681,Technische Universität Braunschweig,https://ror.org/010nsgg66
2362,Technical University of Aachen,DE,api_top,I887968799,RWTH Aachen University,https://ror.org/04xfq0f34
2369,Unknown Name,EL,cordis_reverse,I4210156054,Athena Research and Innovation Center In Information Communication & Knowledge Technologies,https://ror.org/0576by029
2393,Masaryk University Brno,CZ,api_top,I21449261,Masaryk University,https://ror.org/02j46qs45
2410,National Institute for Research in Computer Science and Automatic Control (INRIA),FR,api_top,I1326498283,Institut national de recherche en sciences et technologies du numérique,https://ror.org/02kvxyf05
