rid,eu_name,authorid,match_type,host_id,passed,n_papers,source
3910,Béla Vilmos Mihalik,A5001430221,alias,I4210131266,True,11,round4_semtie
3913,Marton Ver,A5029724742,alias,,True,12,round4_semtie
3917,Martin Hinz,A5061303354,alias,,True,102,round4_semtie
3924,Zachary Chitwood,A5055449732,exact,,True,41,round4_semtie
3931,David Pretel,A5091248521,exact,,True,47,round4_semtie
3934,M. Talha Cicek,A5084368562,alias,,True,24,round4_semtie
3952,Dennis Lehmkuhl,A5072424030,alias,I135140700,False,51,round4_maxpapers
3953,Jana Tschurenev,A5020784963,alias,,True,31,round4_semtie
3954,Ere Nokkala,A5019109542,exact,,True,31,round4_semtie
3955,Stefanie Gänger,A5074677620,exact,,True,64,round4_semtie
3965,Martin Biersack,A5089542934,exact,,True,53,round4_semtie
3966,Chiara Bonfiglioli,A5000790374,exact,,True,53,round4_semtie
3970,Umberto Lombardo,A5046272739,exact,I123044942,True,75,round4_semtie
3974,Islam Dayeh,A5032940013,exact,,True,23,round4_semtie
3990,Felicita Tramontana,A5017658927,alias,,True,30,round4_semtie
3991,Manuel Bastias Saavedra,A5039655761,exact,,True,47,round4_semtie
3992,Anastasia Tatiana Theodoropoulou,A5043727279,fuzzy,,False,42,round4_maxpapers
3994,John-Paul Ghobrial,A5075681746,alias,I40120149,True,10,round4_semtie
4000,Sireen El Zaatari,A5079881496,exact,I8087733,True,27,round4_semtie
4002,Henning Trüper,A5083906090,exact,,True,45,round4_semtie
4015,Nitin Sinha,A5038020168,alias,,True,65,round4_semtie
4022,Claire Zalc,A5014443416,alias,I1294671590,False,206,round4_maxpapers
4024,Yuliana Boycheva,A5036852455,alias,,True,2,round4_semtie
4027,Giulia Giannini,A5106513059,exact,I189158943,True,8,round4_semtie
4030,Maria De Lurdes Pereira Rosa,A5103261909,exact,I83558840,True,98,round4_semtie
4033,Catherine Ferris,A5022167412,alias,,True,18,round4_semtie
4034,Leyla Dakhli,A5026388312,alias,I1294671590,True,135,round4_semtie
4045,Matthieu Husson,A5062205664,exact,I1294671590,True,56,round4_semtie
4046,Maria Fusaro,A5031068846,exact,I23923803,True,92,round4_semtie
4050,Pietro Daniel Omodeo,A5042205000,exact,I149461666,True,296,round4_semtie
4055,Stefano Benazzi,A5024472507,exact,I9360294,True,338,round4_semtie
4056,Elisheva Baumgarten,A5079659873,alias,I197251160,True,66,round4_semtie
4060,Corinna Rossi,A5072210157,exact,I93860229,True,97,round4_semtie
4063,Ludovic Antoine Alexandre Orlando,A5032664670,alias,I1294671590,False,309,round4_maxpapers
4094,Matthias Garschagen,A5058834792,alias,,True,187,round4_semtie
4099,Oded Cats,A5058766860,alias,I98358874,True,406,round4_semtie
4100,Emanuele Campiglio,A5080543399,alias,I9360294,True,56,round4_semtie
4134,Samuel Rufat,A5020082706,exact,,True,120,round4_semtie
4144,Iselin Åsedotter Strønen,A5019303974,alias,I4432739,True,35,round4_semtie
4145,Deborah Nadal,A5050316572,alias,,True,30,round4_semtie
4147,Aike Peter Rots,A5022249335,alias,I184942183,False,29,round4_maxpapers
4148,Rune Steenberg Reyhé,A5029394500,alias,,False,1,round4_maxpapers
4149,Macarena Garcia González,A5079053390,exact,,True,43,round4_semtie
4154,Yoel Greenberg,A5008017472,alias,,True,22,round4_semtie
4155,Minh Nguyen,A5050267995,alias,,True,587,round4_semtie
4159,Laura Feldt,A5067181030,exact,,True,93,round4_semtie
4161,Yafa Shanneik,A5003315566,exact,,True,65,round4_semtie
4164,Martin Biersack,A5089542934,alias,,True,53,round4_semtie
4170,Jose Antonio Iriarte Mugica,A5090527226,fuzzy,,False,27,round4_maxpapers
4183,Erik Petrus Antonius Maria Bakkers,A5041376320,fuzzy,I98358874,True,498,round4_semtie
4191,Manuel Alain Bibes,A5016698882,fuzzy,,False,1,round4_maxpapers
4198,Rebecca Jane Miriam Goss,A5073970185,fuzzy,I16835326,False,103,round4_maxpapers
4207,Charles Agyemang,A5067202010,alias,I2802928900,False,471,round4_maxpapers
